County,Year,Population,State,fips,Deaths,_merge,drug_mortality_per_capita
Cherokee County,2012.0,25961,AL,1019.0,322.0,both,0.012403220214937791
Chilton County,2012.0,43572,AL,1021.0,474.0,both,0.010878545855136326
Choctaw County,2012.0,13565,AL,1023.0,183.0,both,0.013490600810910431
Clarke County,2012.0,25161,AL,1025.0,265.0,both,0.010532172807122134
Clay County,2012.0,13433,AL,1027.0,164.0,both,0.012208739670959578
Cleburne County,2012.0,14889,AL,1029.0,164.0,both,0.011014843172812143
Coffee County,2012.0,51159,AL,1031.0,509.0,both,0.009949373521765476
Colbert County,2012.0,54578,AL,1033.0,688.0,both,0.012605811865586866
Conecuh County,2012.0,13043,AL,1035.0,191.0,both,0.014643870275243425
Coosa County,2012.0,11343,AL,1037.0,123.0,both,0.010843692144935203
Covington County,2012.0,37809,AL,1039.0,501.0,both,0.01325081329842101
Crenshaw County,2012.0,13914,AL,1041.0,164.0,both,0.011786689665085526
Cullman County,2012.0,80292,AL,1043.0,953.0,both,0.011869177502117271
Dale County,2012.0,50313,AL,1045.0,446.0,both,0.008864508178800707
Dallas County,2012.0,42794,AL,1047.0,547.0,both,0.01278216572416694
DeKalb County,2012.0,70913,AL,1049.0,743.0,both,0.010477627515406202
Elmore County,2012.0,80211,AL,1051.0,713.0,both,0.008889055117128574
Escambia County,2012.0,38029,AL,1053.0,446.0,both,0.011727891871992427
Etowah County,2012.0,104271,AL,1055.0,1333.0,both,0.012783995550057064
Fayette County,2012.0,16955,AL,1057.0,231.0,both,0.013624299616632262
Franklin County,2012.0,31699,AL,1059.0,398.0,both,0.012555601123063819
Geneva County,2012.0,26928,AL,1061.0,343.0,both,0.01273767082590612
Greene County,2012.0,8849,AL,1063.0,119.0,both,0.013447847214374505
Hale County,2012.0,15366,AL,1065.0,160.0,both,0.010412599245086555
Henry County,2012.0,17152,AL,1067.0,237.0,both,0.013817630597014926
Houston County,2012.0,103410,AL,1069.0,999.0,both,0.009660574412532636
Jackson County,2012.0,53107,AL,1071.0,675.0,both,0.012710188863991565
Jefferson County,2012.0,658183,AL,1073.0,6840.0,both,0.010392246533258986
Lamar County,2012.0,14250,AL,1075.0,185.0,both,0.012982456140350877
Lauderdale County,2012.0,92687,AL,1077.0,1048.0,both,0.011306871513804525
Lawrence County,2012.0,33782,AL,1079.0,387.0,both,0.01145580486649695
